
Salumificio Gastaldi\Via Giorgio Sidney Sonnino, 2/A, 43126 Parma PR\http://www.salumificiogastaldi.it/\0521 980632\info@salumificiogastaldi.it\PR\
Salumificio Parmigiano\Via Madrid, 6, 43123 Parma PR\\0521 487441\\PR\
Borelli Cesare Srl\Via Giuseppe Botteri, 5, 43122 Parma PR\https://borellicesare.it/\0521 781278\info@borellicesare.it\PR\
Salumificio Morbarigazzi (Produzione e Vendita Salumi Ingrosso e Dettaglio)\Str. Langhirano, n 558/A, 43124 Parma PR\http://www.salumificiomorbarigazzi.it/\0521 630259\info@salumificiomorbarigazzi.it ordini@salumificiomorbarigazzi.it\PR\
Salumificio Massimo Snc\Strada Pedemontana Est, 16, 43010 Pilastro PR\http://www.salumificiomassimo.it/\0521 639062\\PR\
Salumificio Ziveri Claudio\Via Solari, 64, 43022 Tortiano PR\https://www.salumificiozivericlaudio.com/\0521 686473\zivericlaudio@salumificiozivericlaudio.com\PR\
SALUMIFICIO Trascinelli Pietro srl\Via Traversetolo, 13 bis, 43030 Basilicanova PR\http://www.salumificiotrascinelli.com/\0521 681339\info@salumificiotrascinelli.com\PR\
Salumificio Rossi\Via Nazionale Emilia, 129, 43012 Sanguinaro PR\http://www.salumificiorossi.it/\0521 825107\\PR\
Salumificio La Perla snc\Str. Quinzano Sotto, 3, 43013 Langhirano PR\https://www.salumificiolaperla.it/\0521 853572\perla@sergioanderson.com gruppi@salumificiolaperla.it info@salumificiolaperla.it visite@salumificiolaperla.it individuali@salumificiolaperla.it\PR\
Salumificio Bardini F.lli & C. Snc\Str. della Badia, 38, 43013 Torrechiara PR\http://www.bardinifratelli.it/\0521 355153\\PR\
Salumificio La Torre SpA\Str. della Torre, 11, 43013 Langhirano PR\http://www.salumificiolatorre.it/\0521 852341\info@salumificiolatorre.it\PR\
Salumificio S. Paolo Srl\Via A. Vivaldi, 2, 43029 Traversetolo PR\http://www.salumificiosanpaolo.it/\0521 842579\\PR\
Salumificio Monica & Grossi S.p.A.\Via Roma, 40, 43013 Langhirano PR\http://www.monicaegrossi.it/\0521 861313\\PR\
Salumificio Orlandini & C. Srl\Via Fabio Bocchialini, 14, 43013 Langhirano PR\http://www.salumificio-orlandini.com/\0521 857168\amministrazione@salumificio-orlandini.com info@salumificio-orlandini.com\PR\
Salumificio Simonini E Marvani (S.N.C.)\Via Don Luigi Sturzo, 6, 43100 Langhirano PR\http://www.simoniniemarvani.it/\0521 857474\\PR\
Salumificio Conti\Str. Fontana, 2, 43013 Langhirano PR\http://www.contiprosciutti.it/\0521 357020\info@contiprosciutti.it\PR\
Salumificio Benassi (La Bastia srl)\Via Nazionale Emilia, 41 43010, Fontevivo PR\\0521 619106\\PR\
Salumificio Conti s.a.s.\\http://www.contiprosciutti.it/\0521 357020\info@contiprosciutti.it\\
Quinta Stagione Spa\Str. per Parma, 30, 43013 Pilastro PR\http://www.quintastagionespa.it/\0521 632035\\PR\
Salumificio Santo Stefano\Via Argini Nord, 36, 43037 Lesignano De' bagni PR\https://www.salumificiosantostefano.com/\0521 850638\info@salumificiosantostefano.it\PR\
Salumificio Tarasconi Di Tarasconi Luigi E C. Snc\Str. della Val Parma, 43021 Corniglio PR\http://www.salumificiotarasconi.it/\0521 887136\\PR\
La Fattoria Di Parma\Sanguinaro, Via Nazionale Emilia, 96, 43012 Loc, PR\http://www.lafattoria.it/\0521 825137\info@lafattoria.it\PR\
Salumi Labadini\Str. Nazionale Est, 88, 43044 Parma PR\\\\PR\
Salumificio Fontana & Anghinetti\Str. per Riano, 88, 43013 Langhirano PR\https://www.fontanaeanghinetti.it/\0521 357000\\PR\
Giuberti Amerio Srl\Str. dei Notari, 8/A, 43044 Collecchio PR\http://www.giuberti.it/\0521 806577\giubertiamerio@pec-mail.it info@giuberti.it\PR\
Salumificio Paini Ermanno E C. Snc\Via Fusana, 2, 43037 Santa Maria del Piano PR\http://www.salumificiopaini.it/\0521 350128\info@pec.salumificiopaini.com info@salumificiopaini.it\PR\
Salumificio Aurora srl\Via Giuseppe Verdi, 15, 43035 Felino PR\https://www.salumificioaurora.it/\0521 831149\info@salumificioaurora.it\PR\
Salumificio Valtermina\Via per Neviano, 1, 43029 Traversetolo PR\https://www.valtermina.com/\0521 842662\info@valtermina.com\PR\
Salumificio Ferrari Giovanni s.r.l. - Stabilimento di Moragnano - Prosciutto di Parma\Via Bruno Bocconi, 56, 43028 Moragnano PR\http://www.prosciuttiferrari.it/\0521 866982\info@prosciuttiferrari.it\PR\
Salumificio F.lli Canetti\Strada Provinciale per Langhirano, 27, 43013 Langhirano PR\https://www.salumificiocanetti.it/\0521 854131\\PR\
Fereoli Salumi Mario e Figlio\Str. per Parma, 15, 43013 Pilastro PR\https://fereolimarioefiglio.it/\0521 639002\\PR\
