Salumeria Pintar Alessio;Via Giovanni Boccaccio, 13, 34170 Gorizia GO;;0481 531570;;GO
Compagnia Delle Carni S.r.l.;Via del Cotonificio, 32, 34170 Gorizia GO;;;;GO
Pittana Michela;Via Francesco Crispi, 5, 34170 Gorizia GO;;335 679 7720;;GO
Macelleria Scarel;Viale XX Settembre, 49, 34170 Gorizia GO;;;;GO
La Buonacarne di Bressan Macelleria Gastronomia Gorizia;Corso Italia, 188, 34170 Gorizia GO;;0481 533043;;GO
Gusto e sapori;Via G. Kugy, 22, 34170 Gorizia GO;https://gusto-e-sapori.business.site/?utm_source=gmb&utm_medium=referral;0481 284693;;GO
Klavcic Giovanni;Piazza Edmondo de Amicis, 6, 34170 Gorizia GO;;0481 393011;;GO
Cooperativa Isontina Macellai - Societa' Cooperativa;Autoporto S. Andrea, Gorizia, Go 34170;;0481 524101;;34170
D'Osvaldo Prosciutti;Via Dante, 40, 34071 Cormons GO;http://www.dosvaldo.it/;0481 61644;info@dosvaldo.it;GO
In Cortile - Salumificio e azienda agricola;;http://www.incortile.it/;0432 928274;info@incortile.it;
Bregant Giorgio;Via S. Giovanni, 9, 34170 Gorizia GO;;0481 530126;;GO
Compagnia Delle Carni S.R.L.;Via IV Novembre, 27/B, 34170 Gorizia GO;;0481 393091;;GO
Supermercato Gusto e sapori Semolič Family;Via G. Kugy, 22, 34170 Gorizia GO;;0481 550589;;GO
Alimentari Povsic Peter;Via Trieste, 261, 34170 Gorizia GO;;0481 21193;;GO
Komauli srl;Via Don Bosco, 169, 34170 Gorizia GO;https://www.spesakomauli.it/;0481 533093;info@spesakomauli.it;GO
Spaccio Salumificio Morgante;Via Pedret, 1, 34076 Romans D'isonzo GO;;;;GO
Semolic Silvano;1 Valico Confinario S. Andrea, 34170 Gorizia GO;;0481 20641;;GO
Cospalat di LUCINICO;Via Alla Stesa, 34170 Gorizia GO;;348 830 6253;;GO
Godina S.r.l.;Via dei Cappuccini, 1, 34170 Gorizia GO;https://www.spesagodina.it/;0481 533136;;GO
Morgante Srl;Via Aquileia, 76, 34076 Romans d'Isonzo GO;http://www.morgante.it/;0481 966511;ask@blackpirates.it name@domain.com marinella.dallacolletta@gmail.com info@morgante.it;GO
Mercato coperto di Campagna Amica di Gorizia;Via IX Agosto, 4/B, 34170 Gorizia GO;http://www.facebook.com/associazioneagrimercatogoriziaetrieste;339 688 4185;;GO
Despar Corso Verdi;Corso Giuseppe Verdi, 127, 34170 Gorizia GO;https://ilgallorosso.eu/;0481 547186;info@gallorosso.eu;GO
Pescheria Da Michele di Mattessich Michele;Via Giovanni Boccaccio, 4, 34170 Gorizia GO;;0481 530018;;GO
SUPERMERCATO A&O;Via dei Cappuccini, 1, 34170 Gorizia GO;https://www.aeo.it/punti-vendita/Friuli%20Venezia%20Giulia/supermercato-aeo-gorizia;0481 533136;super-aeo-logo@2x.png;GO
Crai di Valentinuzzi;Piazza Edmondo de Amicis, 9, 34170 Gorizia GO;https://www.crai-supermercati.it/punti-vendita/pdv.php?id=157;0481 533194;;GO
Fiegl;Località Lenzuolo Bianco, 1, 34170 Oslavia GO;http://www.fieglvini.com/;0481 547103;info@fieglvini.com;GO
Coop;Via Italico Brass, 11, 34170 Gorizia GO;https://www.coopalleanza3-0.it/fare-spesa/elenco-negozi/dettaglio-negozio/5581-gorizia-mercato.html;0481 536108;filo.diretto@alleanza3-0.coop.it;GO
Maxì;Via del S. Michele, 184, 34170 Gorizia GO;https://www.maxisupermercati.it/;0481 21616;;GO
Emporio della Solidarietà - Gorizia;Via del Faiti, 15, 34170 Gorizia GO;https://emporio.asslaginestra.it/;0481 537955;emporio@caritasgorizia.it;GO
Giuseppe Piovesana;Via Alessandro Manzoni, 5, 34170 Gorizia GO;;0481 199 5420;;GO
Salumi Luigi Vida;Via dei Laghi, 28, 33040 Torreano UD;http://www.salumivida.it/;0432 715232;info@salumivida.it;UD
Salumeria Sfreddo - Trieste;Via Cesare Battisti, 1, 34125 Trieste TS;http://www.sfreddo.it/;040 764465;;TS
Alimentari;Via Gorizia, 5, 33057 Jalmicco UD;;;;UD
Salumificio Sfreddo;Via di Giarizzole, 37, 34148 Trieste TS;http://www.sfreddo.it/;040 817357;;TS
Macelleria Spaccio Carni Ma.Vi.;Via Redipuglia, 158, 34077 Ronchi dei Legionari GO;;0481 474155;;GO
Supermercato Famila Gorizia;Via Terza Armata, 34170 Gorizia GO;https://promo.unicomm.it/punti-vendita/famila-di-gorizia?utm_source=GMB&utm_medium=GoogleMyBusiness&utm_campaign=gorizia;0481 525083;;GO
Savonitti Mattia Sas;Piazza della Chiesa, 14, 33033 Codroipo UD;http://www.savonitti.com/;0432 907393;mattia@savonitti.com info@bottega-digitale.it;UD
Alimentari Tomadin;Via C. Cumano, 5, 34071 Cormons GO;https://www.alimentaritomadin.com/;0481 61305;contatto@esempio.it;GO
Dentesano Salumi srl;Via Aquileia, 89, 33050 Percoto UD;http://www.dentesano.it/;0432 676397;info@amazingfood.it shop@dentesano.it. info@dentesano.it shop@dentesano.it;UD
Azienda Agricola Veliscek - L’Angolo del Norcino;Località Novali, 34071 Cormons GO;http://www.terredibeba.it/beba/index.php?option=com_content&view=article&id=167&Itemid=173;347 906 1591;;GO
NaturaSì;Via Ludovico Ariosto, 15, 34170 Gorizia GO;https://negozi.naturasi.it/italia/gorizia/gorizia?utm_source=google&utm_medium=GMBSitelink&utm_campaign=GMBSitelink_Gorizia__26890;0481 520855;gorizia1@naturasi.biz;GO
RebeKin acquolina e vin... Osteria Trattoria Ristorante Cocktail Bar in Gorizia;Via Carlo de Morelli, 13a, 34170 Gorizia GO;https://www.facebook.com/RebeKinGorizia/;0481 090000;;GO
MittelCo S.r.l.;Via F.lli Rusjan, 23, 34070 Savogna D'Isonzo GO;;0481 522752;;GO
Masè Trieste;Via Josip Ressel, n.2, 34018 San Dorligo della Valle TS;https://www.cottomase.it/;040 282 1011;info@mase.world aos@2.3.1 slick-carousel@1.8.1;TS
Macelleria-Salumeria Macorig S.N.C.Di Macorig Paolo E Macorig Andrea;Via Borgo S. Pietro, 11, 33043 Cividale del Friuli UD;;0432 700007;;UD
Societa' Agricola Humar Marino & C. S.S.;20 Loc, 34070 Valerisce GO;http://www.humar.it/;0481 884197;info@humar.it;GO
Food Innovation S.r.l.;Via Isonzo, 25 B, 34170 Mossa GO;http://www.foodinnovation.it/;0481 80501;;GO
Supermercato EUROSPAR Aquileia;Via Aquileia, 67, 34170 Gorizia GO;https://www.despar.it/it/?&utm_source=google&utm_medium=organic&utm_campaign=local-sitoweb-eurospar-aquileia;0481 20577;diego.novo@studiovatore.com;GO
Lidl;Via Terza Armata, 186, 34170 Gorizia GO;https://www.lidl.it/;800 480 048;;GO
Prosciuttificio Bagatto;Via C.Battisti, 26, 33038 San Daniele del Friuli UD;http://www.prosciuttibagatto.it/;0432 957252;info@prosciuttibagatto.it;UD
Agriturismo Ronco dei Masi da Lucia.;Via Pietro Blaserna, 32, 34170 Gorizia GO;https://m.facebook.com/Agriturismo-Ronco-dei-Masi-100107644760956/;366 120 2732;;GO
Agriturismo Grion Gorizia;Via Giulio Aristide Sartorio, 75, 34170 Gorizia GO;https://grionagriturismo.it/;;aziendagrion@gmail.com aziendagrion@gmail.com.;GO
Prosciuttificio Prolongo Giovanni di San Daniele;Via Trento Trieste, 129, 33038 San Daniele del Friuli UD;http://www.prolongo.it/prodotti;0432 957161;prosciutti@prolongo.it;UD
Salumificio Micad - Produzione;Via degli Alpini, 10, 36056 Belvedere VI;http://www.salumificiomicad.it/;0424 561138;info@salumificiomicad.it;VI
Trattoria "Al Piròn" Gorizia;Via Trieste, 15, 34170 Gorizia GO;http://www.alpiron.it/;0481 520513;;GO
Il Giardino Dei Vizi Gorizia;Piazza S. Antonio, 12/13, 34170 Gorizia GO;;347 821 6583;;GO
Nonno lince;Località Pradis, 19, 34071 Cormons GO;http://www.nonnolince.it/;329 066 4565;info@nonnolince.it;GO
Agriturismo alla Madonna Azienda agricola Paolo Vidoz;Stradone della Mainizza, 424, 34170 Gorizia GO;https://agriturismo-alla-madonna.business.site/?utm_source=googlemybusiness&utm_medium=referral;333 775 3426;;GO
Doro Princic;Località Pradis, 34071 Cormons GO;;0481 60723;;GO
Pasticceria L'Oca Golosa;Corso Italia, 201, 34170 Gorizia GO;http://www.pasticceriaocagolosa.it/;0481 21549;ocagolosagorizia@pec.it info@pasticceriaocagolosa.it;GO
iN's Mercato S.p.a;Corso Italia, 169, 34170 Gorizia GO;http://www.insmercato.it/;375 560 2516;;GO
Jolanda de Colò SpA;Via I° Maggio, 21, 33057 Palmanova UD;http://www.jolandadecolo.it/;0432 920321;;UD
Azienda Agricola Feresin Davide;Località S. Quirino, 2/BIS, 34071 Cormons GO;http://www.feresin.it/;0481 630032;davide@feresin.it;GO
Masè;Piazza C. B. Cavour, 4, 34074 Monfalcone GO;;;;GO
Prosciuttificio Wolf Sauris spa;Via Sauris di Sotto, 88, 33020 Sauris di Sotto UD;https://www.wolfsauris.it/;0433 86054;info@wolfsauris.it;UD
Salumificio Artigiano;Via Lughese, 52, 47122 Forlì FC;;0543 701370;;FC
Panificio Pasticceria F.lli Fregonese Snc;P.za S. Giorgio, 32, 34170 Lucinico GO;;380 173 5200;;GO
Prosciuttificio Fogolar;33038 San Daniele del Friuli UD;;;;UD
Agriturismo Frasca Pozzar - Ai Talponi;Via Nazario Sauro, 47, 34075 San Canzian D'isonzo GO;;331 147 8805;;GO
Polje;Località Novali, 11, 34071 Cormons GO;http://www.polje.it/;320 926 1329;info@sutto.it;GO
